quest,name,pack_branches,entries,vanilla_stages,vanilla_journal,vanilla_complete,vanilla_accepted,vanilla_done,ussep_complete,ussep_done
C01,Proving Honor,<200,dungeon.whiterun.dustmans_cairn_pre,0 1 10 20 30 40 200,10 20 200,200,,,,
DA01,The Black Star,<10 <50 <100,quest.winterhold.the_black_star,0 10 20 25 30 50 57 58 60 61 62 65 70 75 80 85 90 95 100 110 250,10 30 50 70 75 100 110,100 110,10,100,100 110,100
DA02,Boethiah's Calling,<40,quest.eastmarch.boethiahs_calling,0 1 4 5 6 7 9 10 11 12 15 17 20 21 30 31 40 41 50 60 70 80 81 100 200,1 5 10 15 20 40,50 100,1,50,50 100,50
DA03,A Daedra's Best Friend,<25 <50 <100 <200,quest.falkreath.daedras_best_friend,0 5 7 10 15 20 25 27 50 60 70 75 77 90 100 105 107 110 150 151 152 155 200 205,25 50 70 150 155 200,200 205,25,200,200 205,200
DA05,Ill Met By Moonlight,<20 <50 <100,quest.falkreath.ill_met_by_moonlight,0 10 20 50 55 60 61 65 70 80 100 105 200 205 210,10 20 50 70 100 105,100 105,10,100,100 105,100
DA06,The Cursed Tribe,<200,quest.eastmarch.cursed_tribe,0 10 20 30 40 50 60 70 80 90 100 110 120 200 255,10 50 70 80 100 110 200,200,10,200,200,200
DA07,Pieces of the Past,<13 <50 <100,quest.pale.pieces_of_the_past,5 10 11 13 15 20 25 30 35 40 45 50 52 53 55 60 65 70 75 80 90 95 100 150 200,10 13 50 70 80 90 100 150 200,100 150,10,100,100 150,100
DA08,The Whispering Door,<10 <60,quest.whiterun.whispering_door,0 1 10 20 25 30 40 50 51 60 80,10 25 60 80,60,10,60,60,60
DA09,The Break of Dawn,<500,quest.haafingar.break_of_dawn,0 1 50 100 150 200 300 350 400 410 450 500,50 100 300 500,500,50,500,500,500
DA10,The House of Horrors,<10 <200,quest.reach.house_of_horrors,0 3 10 15 17 20 25 30 32 35 36 37 38 40 45 65 70 72 74 76 80 85 90 92 95 100 110 120 130 140 200 500 550,10 80 200 500 550,200,10,200,200,200
DA11,The Taste of Death,<100,quest.reach.taste_of_death,0 5 10 15 20 30 40 45 50 60 70 100 200 225 250 500 600,10 30 60 100 250 500,100,10,100,100,100
DA15,The Mind of Madness,<200,quest.haafingar.mind_of_madness,0 10 20 30 40 45 50 55 90 95 100 150 190 200,10 50 100 200,200,10,200,200,200
